Ticker,Change,Close,Date
IDX:AXX,0.388,1179.8,08/01/2021
IDX:ASX,1.104,3880.4,08/01/2021
IDX:FT50,1.018,6293.2,08/01/2021
IDX:FT40,1.074,5327.7,08/01/2021
IDX:FT65,0.764,7393.2,08/01/2021
IDX:FT60,2.736,5369.4,08/01/2021
IDX:FT30,0.722,4609.5,08/01/2021
IDX:FT20,0.696,11683,08/01/2021
IDX:FT55,2.644,8161.6,08/01/2021
IDX:FT10,0.574,2098.9,08/01/2021
IDX:FT45,0.554,18860,08/01/2021
IDX:FT15,1.254,1907.9,08/01/2021
IDX:AXX,-0.112,1173.1,15/01/2021
IDX:ASX,-0.396,3803.8,15/01/2021
IDX:FT50,-0.586,6111,15/01/2021
IDX:FT40,-0.494,5197.3,15/01/2021
IDX:FT65,-0.346,7264.2,15/01/2021
IDX:FT60,0.126,5400.6,15/01/2021
IDX:FT30,-0.352,4528.2,15/01/2021
IDX:FT20,0.106,11739,15/01/2021
IDX:FT55,-0.784,7839.9,15/01/2021
IDX:FT10,-0.056,2092.8,15/01/2021
IDX:FT45,-0.572,18322,15/01/2021
IDX:FT15,-0.228,1885.8,15/01/2021
IDX:AXX,0.376,1195.3,22/01/2021
IDX:ASX,-0.094,3786.1,22/01/2021
IDX:FT50,-0.022,6104,22/01/2021
IDX:FT40,0.008,5198.3,22/01/2021
IDX:FT65,0.064,7286.9,22/01/2021
IDX:FT60,-0.868,5169.2,22/01/2021
IDX:FT30,-0.076,4510.9,22/01/2021
IDX:FT20,0.204,11855,22/01/2021
IDX:FT55,-0.148,7781.3,22/01/2021
IDX:FT10,0.536,2148.7,22/01/2021
IDX:FT45,-0.056,18270,22/01/2021
IDX:FT15,-0.2,1866.8,22/01/2021
IDX:AXX,-0.584,1160.7,29/01/2021
IDX:ASX,-0.77,3641.9,29/01/2021
IDX:FT50,-0.83,5854.4,29/01/2021
IDX:FT40,-0.548,5056.3,29/01/2021
IDX:FT65,-0.532,7094.6,29/01/2021
IDX:FT60,-1.232,4855.7,29/01/2021
IDX:FT30,-0.852,4321.2,29/01/2021
IDX:FT20,-0.574,11514,29/01/2021
IDX:FT55,-1.15,7339.1,29/01/2021
IDX:FT10,-0.718,2072.5,29/01/2021
IDX:FT45,-0.504,17810,29/01/2021
IDX:FT15,-0.59,1812,29/01/2021
IDX:AXX,0.864,1211.6,05/02/2021
IDX:ASX,0.372,3709.9,05/02/2021
IDX:FT50,0.592,6028.4,05/02/2021
IDX:FT40,0.866,5279.2,05/02/2021
IDX:FT65,-0.096,7058,05/02/2021
IDX:FT60,-0.362,4766,05/02/2021
IDX:FT30,0.896,4517.9,05/02/2021
IDX:FT20,-0.706,11108,05/02/2021
IDX:FT55,0.402,7485.2,05/02/2021
IDX:FT10,0.336,2107,05/02/2021
IDX:FT45,-0.068,17744,05/02/2021
IDX:FT15,1.026,1904.9,05/02/2021
IDX:AXX,0.136,1219.8,12/02/2021
IDX:ASX,0.242,3755,12/02/2021
IDX:FT50,0.404,6150.5,12/02/2021
IDX:FT40,-0.306,5198.2,12/02/2021
IDX:FT65,0.096,7092.5,12/02/2021
IDX:FT60,0.422,4865.3,12/02/2021
IDX:FT30,0.25,4574.2,12/02/2021
IDX:FT20,0.38,11318,12/02/2021
IDX:FT55,0.872,7814.6,12/02/2021
IDX:FT10,0.252,2133.4,12/02/2021
IDX:FT45,0.094,17826,12/02/2021
IDX:FT15,-0.052,1899.3,12/02/2021
IDX:AXX,-0.09,1214.2,19/02/2021
IDX:ASX,0.088,3769.9,19/02/2021
IDX:FT50,-0.338,6045.6,19/02/2021
IDX:FT40,-0.038,5185.5,19/02/2021
IDX:FT65,-0.198,7018.9,19/02/2021
IDX:FT60,0.558,4990.8,19/02/2021
IDX:FT30,0.16,4608.5,19/02/2021
IDX:FT20,-0.34,11125,19/02/2021
IDX:FT55,0.864,8153,19/02/2021
IDX:FT10,-0.012,2131.9,19/02/2021
IDX:FT45,-0.122,17713,19/02/2021
IDX:FT15,-0.27,1873,19/02/2021
IDX:AXX,-0.514,1183.3,26/02/2021
IDX:ASX,-0.356,3702.4,26/02/2021
IDX:FT50,-0.42,5918.1,26/02/2021
IDX:FT40,0.056,5199.9,26/02/2021
IDX:FT65,-1.044,6657,26/02/2021
IDX:FT60,1.1,5261.4,26/02/2021
IDX:FT30,-0.134,4576.3,26/02/2021
IDX:FT20,-1.138,10504,26/02/2021
IDX:FT55,0.02,8151.1,26/02/2021
IDX:FT10,-1.174,2008.8,26/02/2021
IDX:FT45,-0.998,16838,26/02/2021
IDX:FT15,-1.076,1773.6,26/02/2021
IDX:AXX,-0.336,1163.3,05/03/2021
IDX:ASX,0.374,3771.7,05/03/2021
IDX:FT50,0.59,6093.2,05/03/2021
IDX:FT40,0.496,5329.5,05/03/2021
IDX:FT65,0.37,6777.7,05/03/2021
IDX:FT60,1.188,5580,05/03/2021
IDX:FT30,0.37,4660.7,05/03/2021
IDX:FT20,0.018,10512,05/03/2021
IDX:FT55,-0.186,8061.7,05/03/2021
IDX:FT10,0.716,2081.5,05/03/2021
IDX:FT45,0.864,17574,05/03/2021
IDX:FT15,0.852,1849.9,05/03/2021
IDX:AXX,0.484,1191.5,12/03/2021
IDX:ASX,0.418,3851.1,12/03/2021
IDX:FT50,0.4,6215.2,12/03/2021
IDX:FT40,0.432,5445.7,12/03/2021
IDX:FT65,0.43,6924.7,12/03/2021
IDX:FT60,0.704,5778.4,12/03/2021
IDX:FT30,0.078,4678.5,12/03/2021
IDX:FT20,0.374,10705,12/03/2021
IDX:FT55,0.02,8061.8,12/03/2021
IDX:FT10,-0.068,2073.2,12/03/2021
IDX:FT45,0.416,17943,12/03/2021
IDX:FT15,0.846,1929.3,12/03/2021
IDX:AXX,0.108,1197.7,19/03/2021
IDX:ASX,-0.136,3824.9,19/03/2021
IDX:FT50,-0.188,6155.8,19/03/2021
IDX:FT40,0.02,5450.9,19/03/2021
IDX:FT65,0.168,6980.3,19/03/2021
IDX:FT60,-1.16,5450,19/03/2021
IDX:FT30,-0.086,4657.7,19/03/2021
IDX:FT20,0.396,10915,19/03/2021
IDX:FT55,-0.844,7723.1,19/03/2021
IDX:FT10,0.164,2089.5,19/03/2021
IDX:FT45,0.246,18163,19/03/2021
IDX:FT15,0.426,1969,19/03/2021
IDX:AXX,-0.086,1192.5,26/03/2021
IDX:ASX,0.09,3842.2,26/03/2021
IDX:FT50,0.116,6191.7,26/03/2021
IDX:FT40,-0.178,5402.3,26/03/2021
IDX:FT65,0.364,7107.3,26/03/2021
IDX:FT60,-0.42,5332.6,26/03/2021
IDX:FT30,0.006,4658.8,26/03/2021
IDX:FT20,-0.03,10895,26/03/2021
IDX:FT55,-0.138,7668.7,26/03/2021
IDX:FT10,0.148,2105.1,26/03/2021
IDX:FT45,0.312,18446,26/03/2021
IDX:FT15,0.052,1974,26/03/2021
IDX:FT50,0.61,6267.3,30/03/2021
IDX:FT40,0.325,5437.4,30/03/2021
IDX:FT65,-0.03,7101.7,30/03/2021
IDX:FT60,-0.45,5284.9,30/03/2021
IDX:FT30,0.56,4710.7,30/03/2021
IDX:FT20,0.905,11090,30/03/2021
IDX:FT55,1.185,7851.9,30/03/2021
IDX:FT10,0.07,2108.1,30/03/2021
IDX:FT45,-0.005,18445,30/03/2021
IDX:FT15,0.66,2000,30/03/2021
IDX:AXX,0.3525,1209.4,01/04/2021
IDX:ASX,0.0475,3849.2,01/04/2021
